10000
500.0,250.0
500.0,250.2
500.0,250.3
500.0,250.5
500.0,250.6
500.0,250.8
500.0,250.9
500.0,251.1
500.0,251.3
500.0,251.4
500.0,251.6
500.0,251.7
500.0,251.9
500.0,252.0
500.0,252.2
500.0,252.4
500.0,252.5
500.0,252.7
500.0,252.8
500.0,253.0
500.0,253.1
500.0,253.3
500.0,253.5
500.0,253.6
500.0,253.8
500.0,253.9
500.0,254.1
500.0,254.2
500.0,254.4
500.0,254.6
500.0,254.7
500.0,254.9
499.9,255.0
499.9,255.2
499.9,255.3
499.9,255.5
499.9,255.7
499.9,255.8
499.9,256.0
499.9,256.1
499.9,256.3
499.9,256.4
499.9,256.6
499.9,256.8
499.9,256.9
499.9,257.1
499.9,257.2
499.9,257.4
499.9,257.5
499.9,257.7
499.9,257.9
499.9,258.0
499.9,258.2
499.9,258.3
499.9,258.5
499.9,258.6
499.8,258.8
499.8,259.0
499.8,259.1
499.8,259.3
499.8,259.4
499.8,259.6
499.8,259.7
499.8,259.9
499.8,260.1
499.8,260.2
499.8,260.4
499.8,260.5
499.8,260.7
499.8,260.8
499.8,261.0
499.8,261.1
499.7,261.3
499.7,261.5
499.7,261.6
499.7,261.8
499.7,261.9
499.7,262.1
499.7,262.2
499.7,262.4
499.7,262.6
499.7,262.7
499.7,262.9
499.7,263.0
499.7,263.2
499.6,263.3
499.6,263.5
499.6,263.7
499.6,263.8
499.6,264.0
499.6,264.1
499.6,264.3
499.6,264.4
499.6,264.6
499.6,264.8
499.6,264.9
499.5,265.1
499.5,265.2
499.5,265.4
499.5,265.5
499.5,265.7
499.5,265.9
499.5,266.0
499.5,266.2
499.5,266.3
499.5,266.5
499.4,266.6
499.4,266.8
499.4,267.0
499.4,267.1
499.4,267.3
499.4,267.4
499.4,267.6
499.4,267.7
499.4,267.9
499.3,268.0
499.3,268.2
499.3,268.4
499.3,268.5
499.3,268.7
499.3,268.8
499.3,269.0
499.3,269.1
499.3,269.3
499.2,269.5
499.2,269.6
499.2,269.8
499.2,269.9
499.2,270.1
499.2,270.2
499.2,270.4
499.2,270.6
499.1,270.7
499.1,270.9
499.1,271.0
499.1,271.2
499.1,271.3
499.1,271.5
499.1,271.6
499.0,271.8
499.0,272.0
499.0,272.1
499.0,272.3
499.0,272.4
499.0,272.6
499.0,272.7
498.9,272.9
498.9,273.1
498.9,273.2
498.9,273.4
498.9,273.5
498.9,273.7
498.9,273.8
498.8,274.0
498.8,274.2
498.8,274.3
498.8,274.5
498.8,274.6
498.8,274.8
498.8,274.9
498.7,275.1
498.7,275.2
498.7,275.4
498.7,275.6
498.7,275.7
498.7,275.9
498.6,276.0
498.6,276.2
498.6,276.3
498.6,276.5
498.6,276.7
498.6,276.8
498.5,277.0
498.5,277.1
498.5,277.3
498.5,277.4
498.5,277.6
498.5,277.7
498.4,277.9
498.4,278.1
498.4,278.2
498.4,278.4
498.4,278.5
498.3,278.7
498.3,278.8
498.3,279.0
498.3,279.2
498.3,279.3
498.3,279.5
498.2,279.6
498.2,279.8
498.2,279.9
498.2,280.1
498.2,280.2
498.1,280.4
498.1,280.6
498.1,280.7
498.1,280.9
498.1,281.0
498.0,281.2
498.0,281.3
498.0,281.5
498.0,281.6
498.0,281.8
497.9,282.0
497.9,282.1
497.9,282.3
497.9,282.4
497.9,282.6
497.8,282.7
497.8,282.9
497.8,283.0
497.8,283.2
497.8,283.4
497.7,283.5
